st,sc,g,h,production
st2,sc1,ocgt,h04,0.0
st3,sc8,solar,h09,182.0
st3,sc4,wind,h02,275.0
st3,sc5,ccgt,h20,443.0
st3,sc6,wind,h16,996.7
st2,sc1,ocgt,h09,0.0
st3,sc8,solar,h16,263.90000000000003
st3,sc10,solar,h15,618.8000000000002
st3,sc6,wind,h21,1394.0
st2,sc3,wind,h23,1053.0
st2,sc2,solar,h05,0.0
st3,sc9,ccgt,h02,0.0
st2,sc3,wind,h13,535.6999999999996
st2,sc2,solar,h21,0.0
st3,sc6,solar,h10,254.8
st3,sc11,wind,h18,875.0
st2,sc1,ocgt,h21,0.0
st2,sc2,wind,h16,701.0999999999999
st3,sc11,ccgt,h20,443.0
st3,sc6,wind,h03,1018.0
st3,sc4,wind,h13,250.0
st3,sc9,solar,h04,0.0
st3,sc6,solar,h05,0.0
st3,sc11,wind,h05,948.0
st2,sc1,wind,h01,275.0
st3,sc4,ccgt,h06,670.8
st3,sc8,ocgt,h23,0.0
st3,sc4,wind,h09,225.0
st3,sc6,solar,h18,0.0
st3,sc4,ccgt,h07,614.8
st3,sc6,ccgt,h10,0.0
st2,sc3,solar,h03,0.0
st2,sc2,solar,h19,0.0
st3,sc7,ocgt,h24,194.0
st3,sc7,wind,h07,250.0
st3,sc12,solar,h15,364.0
st3,sc4,wind,h16,375.0
st3,sc5,solar,h19,0.0
st3,sc9,wind,h12,814.9000000000001
st3,sc4,ocgt,h01,113.0
st3,sc7,solar,h03,0.0
st3,sc11,ccgt,h13,0.0
st2,sc1,ccgt,h03,539.0
st3,sc4,ccgt,h02,800.0
st2,sc2,wind,h07,769.9
st3,sc6,wind,h12,814.9000000000001
st3,sc5,ccgt,h06,0.0
st3,sc6,solar,h06,0.0
st3,sc11,ccgt,h17,235.70000000000005
st3,sc12,wind,h24,1294.0
st3,sc5,ccgt,h18,343.70000000000005
st3,sc6,wind,h09,1018.8
st3,sc8,ocgt,h18,0.0
st3,sc9,ccgt,h09,0.0
st3,sc6,ocgt,h02,0.0
st3,sc9,ocgt,h10,0.0
st3,sc8,solar,h17,118.29999999999998
st3,sc11,wind,h23,1150.0
st3,sc5,wind,h16,875.0
st3,sc10,solar,h12,755.2999999999998
st3,sc7,ocgt,h12,0.0
st3,sc9,ccgt,h15,0.0
st3,sc6,ccgt,h12,0.0
st3,sc4,wind,h12,225.0
st2,sc2,ccgt,h11,0.0
st3,sc6,ocgt,h09,0.0
st3,sc8,wind,h07,964.9
st3,sc11,ocgt,h23,0.0
st3,sc6,ccgt,h24,0.0
st3,sc4,ocgt,h08,0.0
st2,sc3,wind,h09,792.8
st3,sc4,wind,h22,325.0
st3,sc12,ccgt,h06,0.0
st3,sc4,ccgt,h10,369.4
st3,sc10,wind,h22,325.0
st3,sc12,solar,h10,254.7999999999998
st3,sc8,wind,h02,1088.0
st3,sc5,wind,h10,867.4000000000001
st3,sc10,ocgt,h17,0.0
st3,sc9,solar,h05,0.0
st3,sc5,ocgt,h10,0.0
st3,sc7,ccgt,h02,800.0
st3,sc12,ocgt,h15,0.0
st3,sc5,solar,h13,536.9
st3,sc8,ccgt,h14,0.0
st3,sc8,solar,h11,455.0
st3,sc7,wind,h20,375.0
st3,sc5,wind,h21,1025.0
st3,sc6,ocgt,h04,0.0
st3,sc5,wind,h01,1188.0
st2,sc1,solar,h15,618.8000000000002
st3,sc7,wind,h15,350.00000000000006
st2,sc1,ocgt,h20,0.0
st3,sc5,ccgt,h13,0.0
st3,sc12,ocgt,h12,0.0
st3,sc12,ocgt,h21,0.0
st2,sc2,ocgt,h12,0.0
st3,sc9,ocgt,h11,0.0
st3,sc5,ocgt,h17,0.0
st3,sc7,solar,h01,0.0
st2,sc2,ocgt,h19,0.0
st3,sc11,solar,h22,0.0
st2,sc3,wind,h21,1115.0
st3,sc4,wind,h10,225.0
st3,sc4,ocgt,h12,0.0
st3,sc9,ccgt,h21,0.0
st3,sc9,ocgt,h19,0.0
st3,sc6,ocgt,h20,0.0
st2,sc3,wind,h20,1114.0
st3,sc9,wind,h23,1316.0
st3,sc4,ocgt,h14,0.0
st3,sc7,wind,h08,225.0
st3,sc9,ccgt,h19,0.0
st3,sc7,wind,h04,275.0
st3,sc7,wind,h13,250.0
st3,sc11,wind,h01,1188.0
st2,sc1,wind,h19,400.0
st3,sc10,ocgt,h14,0.0
st3,sc5,ccgt,h15,0.0
st3,sc5,ocgt,h01,0.0
st3,sc5,wind,h11,808.0
st3,sc5,ccgt,h21,369.0
st3,sc4,wind,h07,250.0
st2,sc2,wind,h04,779.0
st3,sc11,solar,h19,0.0
st3,sc7,ocgt,h10,0.0
st3,sc4,ccgt,h16,348.69999999999993
st2,sc2,ocgt,h21,0.0
st3,sc8,wind,h17,850.0
st2,sc2,ccgt,h16,0.0
st3,sc9,wind,h14,808.0
st3,sc7,wind,h05,250.0
st3,sc4,ocgt,h13,0.0
st3,sc6,ocgt,h13,0.0
st3,sc6,solar,h15,364.0
st3,sc6,solar,h09,109.2
st3,sc9,solar,h02,0.0
st3,sc12,solar,h05,0.0
st3,sc7,ocgt,h18,0.0
st3,sc9,ccgt,h05,0.0
st3,sc8,ccgt,h09,0.0
st2,sc3,wind,h24,1035.0
st3,sc6,ccgt,h15,0.0
st2,sc3,wind,h22,1107.0
st3,sc8,ocgt,h15,0.0
st3,sc11,ccgt,h08,0.0
st2,sc3,solar,h01,0.0
st3,sc12,ccgt,h20,0.0
st2,sc2,wind,h14,518.6000000000004
st3,sc8,ocgt,h03,0.0
st3,sc7,wind,h17,400.0
st2,sc3,ccgt,h21,0.0
st2,sc3,wind,h10,701.2000000000002
st3,sc4,ccgt,h09,448.0
st3,sc9,solar,h22,0.0
st3,sc10,wind,h09,225.0
st2,sc2,ocgt,h14,0.0
st2,sc1,ccgt,h10,130.4000000000002
st3,sc10,solar,h10,600.5999999999998
st3,sc5,ocgt,h14,0.0
st3,sc6,solar,h13,482.30000000000007
st3,sc12,wind,h02,1088.0
st3,sc9,ocgt,h01,0.0
st3,sc5,wind,h06,939.0
st3,sc11,ocgt,h16,0.0
st2,sc1,ccgt,h16,107.69999999999959
st3,sc9,ccgt,h10,0.0
st3,sc5,wind,h07,964.9
st3,sc8,ccgt,h05,0.0
st2,sc2,solar,h22,0.0
st3,sc9,solar,h19,0.0
st3,sc8,wind,h13,736.0999999999998
st3,sc5,ocgt,h24,0.0
st3,sc7,ocgt,h02,13.0
st3,sc5,ccgt,h03,0.0
st3,sc8,solar,h06,0.0
st3,sc10,ocgt,h22,199.99999999999997
st3,sc11,solar,h02,0.0
st2,sc3,wind,h04,779.0
st2,sc1,ocgt,h08,0.0
st2,sc2,ccgt,h10,0.0
st3,sc9,ccgt,h13,0.0
st3,sc9,wind,h16,996.6999999999999
st3,sc10,wind,h03,275.0
st3,sc11,solar,h01,0.0
st3,sc8,solar,h21,0.0
st2,sc2,ccgt,h19,193.0
st3,sc8,wind,h14,771.6000000000004
st3,sc5,ccgt,h09,0.0
st3,sc5,ccgt,h14,0.0
st3,sc4,wind,h06,250.0
st3,sc5,ocgt,h15,0.0
st3,sc5,ocgt,h07,0.0
st3,sc9,ccgt,h03,0.0
st3,sc10,wind,h17,400.0
st3,sc5,ccgt,h12,0.0
st2,sc2,wind,h09,720.0
st3,sc12,wind,h06,939.0
st2,sc1,wind,h24,300.0
st3,sc6,ocgt,h21,0.0
st2,sc3,solar,h08,9.099999999999998
st3,sc12,solar,h13,482.30000000000047
st3,sc10,ocgt,h21,199.99999999999997
st2,sc1,solar,h07,109.20000000000002
st3,sc9,wind,h18,1246.0
st3,sc11,solar,h07,9.099999999999998
st3,sc11,wind,h11,808.0
st2,sc2,ocgt,h06,0.0
st3,sc9,solar,h23,0.0
st3,sc6,ocgt,h19,0.0
st3,sc12,wind,h17,1158.5
st2,sc2,ocgt,h01,0.0
st3,sc12,ccgt,h17,0.0
st3,sc4,solar,h09,455.0
st2,sc2,solar,h08,63.69999999999993
st3,sc11,solar,h13,536.9000000000002
st3,sc10,solar,h06,18.199999999999996
st3,sc4,ocgt,h04,0.0
st3,sc4,ccgt,h12,298.70000000000005
st3,sc4,wind,h23,300.0
st3,sc9,ocgt,h09,0.0
st3,sc10,solar,h18,154.70000000000005
st2,sc3,ocgt,h19,0.0
st3,sc11,solar,h18,27.300000000000004
st2,sc2,wind,h19,900.0
st3,sc8,ccgt,h12,0.0
st3,sc5,solar,h05,0.0
st2,sc3,ocgt,h20,0.0
st3,sc11,solar,h17,118.29999999999998
st3,sc7,solar,h14,709.8000000000002
st3,sc11,ocgt,h06,0.0
st2,sc3,ocgt,h13,0.0
st3,sc11,ocgt,h12,0.0
st3,sc5,ocgt,h20,0.0
st3,sc9,solar,h24,0.0
st3,sc8,solar,h19,0.0
st2,sc3,ocgt,h15,0.0
st3,sc9,ocgt,h05,0.0
st3,sc11,ccgt,h07,0.0
st3,sc12,solar,h21,0.0
st2,sc1,ccgt,h05,508.0
st3,sc4,ccgt,h14,253.19999999999993
st2,sc3,ccgt,h02,0.0
st3,sc6,ccgt,h04,0.0
st3,sc9,solar,h21,0.0
st3,sc8,ccgt,h04,0.0
st2,sc3,solar,h20,0.0
st3,sc7,ocgt,h23,199.99999999999997
st3,sc8,ccgt,h03,0.0
st2,sc1,ocgt,h07,0.0
st2,sc1,solar,h19,36.39999999999999
st3,sc5,wind,h18,875.0
st3,sc5,solar,h01,0.0
st2,sc3,ocgt,h12,0.0
st3,sc4,ccgt,h23,800.0
st3,sc12,ocgt,h02,0.0
st2,sc2,ccgt,h03,0.0
st2,sc1,wind,h16,375.0
st3,sc9,ocgt,h07,0.0
st3,sc8,solar,h07,9.099999999999998
st2,sc2,ocgt,h08,0.0
st3,sc6,wind,h04,974.0
st3,sc6,wind,h19,1366.0
st2,sc1,ocgt,h18,0.0
st3,sc4,solar,h18,154.70000000000002
st3,sc10,solar,h09,455.0
st3,sc6,ocgt,h01,0.0
st3,sc9,wind,h05,948.0
st3,sc10,wind,h04,275.0
st3,sc12,ccgt,h03,0.0
st3,sc10,solar,h13,755.2999999999998
st3,sc9,solar,h17,45.5
st3,sc12,ocgt,h01,0.0
st3,sc12,ocgt,h17,0.0
st3,sc5,ccgt,h05,0.0
st3,sc7,ocgt,h05,0.0
st3,sc12,wind,h15,861.0
st2,sc2,solar,h17,118.29999999999998
st3,sc11,solar,h20,0.0
st2,sc1,ccgt,h18,442.29999999999995
st3,sc8,wind,h20,950.0
st3,sc12,ocgt,h06,0.0
st2,sc1,solar,h12,755.3
st3,sc4,ocgt,h16,0.0
st3,sc6,ccgt,h03,0.0
st2,sc1,wind,h05,250.0
st2,sc1,wind,h13,250.0
st3,sc4,ccgt,h20,800.0
st3,sc6,wind,h02,1088.0
st3,sc10,ocgt,h18,0.0
st3,sc12,solar,h12,464.0999999999999
st3,sc4,solar,h08,273.0
st2,sc3,ccgt,h19,0.0
st2,sc2,ccgt,h08,0.0
st3,sc6,wind,h15,861.0
st3,sc4,ocgt,h21,199.99999999999997
st3,sc12,solar,h22,0.0
st3,sc7,ccgt,h17,485.5
st3,sc6,wind,h24,1294.0
st2,sc1,wind,h20,375.0
st3,sc8,ocgt,h22,0.0
st2,sc2,solar,h11,455.0
st2,sc3,wind,h01,950.0
st3,sc11,ccgt,h05,0.0
st2,sc3,ccgt,h22,0.0
st3,sc5,solar,h02,0.0
st3,sc8,wind,h11,808.0
st3,sc11,ccgt,h19,466.0
st3,sc8,ccgt,h15,0.0
st3,sc7,ccgt,h20,800.0
st3,sc8,solar,h23,0.0
st2,sc3,wind,h03,814.0
st3,sc12,wind,h18,1246.0
st3,sc4,solar,h02,0.0
st2,sc3,wind,h06,751.0
st3,sc11,ccgt,h24,94.0
st3,sc4,solar,h16,482.30000000000007
st2,sc2,ocgt,h20,0.0
st3,sc9,ocgt,h03,0.0
st2,sc1,ocgt,h05,0.0
st3,sc5,ccgt,h16,67.09999999999991
st2,sc1,ccgt,h14,0.1999999999999318
st3,sc8,ocgt,h01,0.0
st2,sc3,ocgt,h16,0.0
st3,sc12,ccgt,h09,0.0
st3,sc12,ocgt,h14,0.0
st2,sc3,ccgt,h05,0.0
st3,sc12,ocgt,h10,0.0
st3,sc4,ccgt,h11,328.19999999999993
st3,sc12,ccgt,h18,0.0
st2,sc1,ccgt,h21,765.0
st3,sc7,wind,h23,300.0
st3,sc12,solar,h14,455.0
st3,sc9,solar,h09,109.20000000000002
st3,sc9,ccgt,h14,0.0
st3,sc10,ccgt,h04,699.0
st3,sc12,solar,h23,0.0
st3,sc5,ccgt,h01,0.0
st3,sc4,solar,h14,709.8000000000001
st3,sc10,solar,h03,0.0
st3,sc7,solar,h07,109.20000000000002
st2,sc2,ccgt,h24,0.0
st3,sc8,solar,h05,0.0
st3,sc9,solar,h06,0.0
st3,sc11,solar,h12,518.6999999999996
st3,sc5,ocgt,h13,0.0
st3,sc6,solar,h17,45.5
st3,sc7,ocgt,h16,0.0
st3,sc12,solar,h03,0.0
st3,sc11,ccgt,h23,166.0
st3,sc4,ccgt,h24,800.0
st2,sc1,solar,h08,273.0
st3,sc11,ocgt,h15,0.0
st3,sc7,solar,h20,0.0
st3,sc4,solar,h17,318.5
st2,sc3,ocgt,h02,0.0
st3,sc9,ocgt,h06,0.0
st3,sc12,ccgt,h11,0.0
st2,sc2,ccgt,h22,32.0
st3,sc8,solar,h04,0.0
st3,sc9,ocgt,h13,0.0
st2,sc1,wind,h22,325.0
st3,sc10,solar,h24,0.0
st3,sc6,wind,h08,1033.9
st2,sc1,ocgt,h22,0.0
st3,sc11,ocgt,h07,0.0
st3,sc7,wind,h02,275.0
st3,sc9,wind,h22,1384.0
st3,sc10,ocgt,h01,113.0
st2,sc3,solar,h14,455.0
st2,sc2,ccgt,h07,0.0
st3,sc11,ccgt,h10,0.0
st3,sc11,ocgt,h21,0.0
st3,sc11,ccgt,h04,0.0
st2,sc1,ocgt,h14,0.0
st3,sc10,solar,h11,709.8000000000002
st3,sc7,ccgt,h14,253.19999999999982
st3,sc7,wind,h09,225.0
st3,sc7,ccgt,h13,267.70000000000016
st3,sc12,ocgt,h04,0.0
st3,sc10,ccgt,h24,800.0
st3,sc6,ccgt,h01,0.0
st3,sc12,ocgt,h23,0.0
st3,sc5,solar,h11,455.0
st2,sc1,ccgt,h17,244.5
st2,sc3,wind,h16,755.6999999999999
st3,sc6,ccgt,h22,0.0
st3,sc5,wind,h08,979.3
st2,sc1,solar,h14,709.8000000000001
st3,sc5,wind,h23,1150.0
st3,sc7,ocgt,h09,0.0
st3,sc12,solar,h06,0.0
st3,sc10,ccgt,h12,298.70000000000016
st3,sc4,wind,h03,275.0
st3,sc11,ocgt,h09,0.0
st3,sc10,ocgt,h16,0.0
st3,sc5,ocgt,h16,0.0
st3,sc10,solar,h17,318.5
st2,sc2,wind,h24,1035.0
st3,sc12,ccgt,h10,0.0
st3,sc4,solar,h13,755.3
st3,sc8,ccgt,h11,0.0
st3,sc11,wind,h06,939.0
st2,sc3,solar,h07,0.0
st3,sc4,ccgt,h17,485.5
st3,sc8,wind,h24,1200.0
st3,sc6,solar,h19,0.0
st2,sc2,ocgt,h23,0.0
st3,sc7,solar,h08,273.0
st3,sc5,ocgt,h21,0.0
st3,sc9,solar,h08,9.099999999999998
st3,sc10,ccgt,h15,256.1999999999998
st3,sc4,ccgt,h01,800.0
st3,sc4,wind,h17,400.0
st2,sc1,ccgt,h07,419.79999999999995
st3,sc4,solar,h21,0.0
st3,sc10,solar,h21,0.0
st3,sc4,solar,h10,600.6
st3,sc11,ccgt,h11,0.0
st3,sc12,ccgt,h12,0.0
st2,sc3,solar,h18,0.0
st3,sc6,ocgt,h16,0.0
st2,sc2,wind,h17,844.7
st2,sc3,wind,h19,1093.0
st3,sc11,ccgt,h09,0.0
st3,sc7,ocgt,h20,199.99999999999997
st3,sc9,solar,h03,0.0
st3,sc10,ccgt,h21,800.0
st3,sc12,ocgt,h13,0.0
st3,sc6,ocgt,h18,0.0
st2,sc3,solar,h21,0.0
st3,sc9,wind,h19,1366.0
st3,sc11,ocgt,h08,0.0
st2,sc3,ocgt,h24,0.0
st3,sc10,ocgt,h02,13.0
st3,sc7,ccgt,h08,545.0
st2,sc2,ocgt,h02,0.0
st2,sc1,ocgt,h23,0.0
st2,sc2,ocgt,h18,0.0
st3,sc10,ocgt,h19,129.5999999999999
st2,sc1,wind,h11,225.0
st3,sc10,ccgt,h11,328.1999999999998
st2,sc1,ccgt,h04,504.0
st2,sc2,solar,h23,0.0
st3,sc9,ocgt,h04,0.0
st3,sc10,ocgt,h24,194.0
st3,sc7,ocgt,h08,0.0
st2,sc1,solar,h13,755.3
st2,sc2,ccgt,h15,0.0
st3,sc6,solar,h03,0.0
st3,sc8,ccgt,h06,0.0
st3,sc7,ocgt,h14,0.0
st3,sc12,ccgt,h14,0.0
st3,sc12,ccgt,h13,0.0
st2,sc1,ocgt,h06,0.0
st2,sc1,ccgt,h01,675.0
st2,sc1,ccgt,h19,656.6
st3,sc6,ocgt,h12,0.0
st2,sc1,wind,h10,225.0
st2,sc3,ccgt,h11,0.0
st2,sc2,ccgt,h02,0.0
st2,sc1,ocgt,h15,0.0
st3,sc7,wind,h11,225.0
st3,sc6,ccgt,h07,0.0
st3,sc11,wind,h14,771.6000000000004
st3,sc9,solar,h12,464.0999999999999
st3,sc10,solar,h14,709.8000000000002
st3,sc5,wind,h17,850.0
